name,set,number,type,rarity,image_url,international_prints
Erika's Oddish,ASC,1,G Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_001_R_EN_LG.png,ASC-1
Erika's Gloom,ASC,2,G Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_002_R_EN_LG.png,ASC-2
Erika's Vileplume ex,ASC,3,G Stage 2,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_003_R_EN_LG.png,ASC-3
Erika's Bellsprout,ASC,4,G Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_004_R_EN_LG.png,ASC-4
Erika's Weepinbell,ASC,5,G Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_005_R_EN_LG.png,ASC-5
Erika's Victreebel,ASC,6,G Stage 2,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_006_R_EN_LG.png,ASC-6
Erika's Tangela,ASC,7,G Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_007_R_EN_LG.png,ASC-7
Chikorita,ASC,8,G Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_008_R_EN_LG.png,ASC-8
Bayleef,ASC,9,G Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_009_R_EN_LG.png,ASC-9
Mega Meganium ex,ASC,10,G Stage 2,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_010_R_EN_LG.png,ASC-10
Wurmple,ASC,11,G Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_011_R_EN_LG.png,ASC-11
Silcoon,ASC,12,G Stage 1,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_012_R_EN_LG.png,ASC-12
Beautifly,ASC,13,G Stage 2,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_013_R_EN_LG.png,ASC-13
Cascoon,ASC,14,G Stage 1,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_014_R_EN_LG.png,ASC-14
Dustox,ASC,15,G Stage 2,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_015_R_EN_LG.png,ASC-15
Budew,ASC,16,G Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_016_R_EN_LG.png,ASC-16
Grubbin,ASC,17,G Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_017_R_EN_LG.png,ASC-17
Team Rocket's Tarountula,ASC,18,G Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_018_R_EN_LG.png,ASC-18
Team Rocket's Spidops,ASC,19,G Stage 1,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_019_R_EN_LG.png,ASC-19
Charmander,ASC,20,R Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_020_R_EN_LG.png,ASC-20
Charmeleon,ASC,21,R Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_021_R_EN_LG.png,ASC-21
Mega Charizard Y ex,ASC,22,R Stage 2,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_022_R_EN_LG.png,ASC-22
Ethan's Slugma,ASC,23,R Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_023_R_EN_LG.png,ASC-23
Ethan's Magcargo,ASC,24,R Stage 1,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_024_R_EN_LG.png,ASC-24
Entei,ASC,25,R Basic,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_025_R_EN_LG.png,ASC-25
Ethan's Ho-Oh ex,ASC,26,R Basic,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_026_R_EN_LG.png,ASC-26
Numel,ASC,27,R Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_027_R_EN_LG.png,ASC-27
Camerupt,ASC,28,R Stage 1,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_028_R_EN_LG.png,ASC-28
Tepig,ASC,29,R Basic,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_029_R_EN_LG.png,ASC-29
