meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
Meta Live;;Alakazam Dudunsparce;Shaymin;M3 3;19;1;19;20;95,0;M3;;3;Uncommon;G Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/M3/M3_003_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Budew;ASC 16;4;1;4;20;20,0;ASC;;16;Common;G Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_016_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Psyduck;ASC 39;10;1;10;20;50,0;ASC;;39;Common;W Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_039_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Lillie's Clefairy ex;ASC 76;1;1;1;20;5,0;ASC;;76;Double Rare;P Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_076_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Togekiss;ASC 82;1;1;1;20;5,0;ASC;;82;Rare;P Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_082_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Togepi;ASC 80;1;1;1;20;5,0;ASC;;80;Common;P Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_080_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Abra;MC 401;80;4;20;20;100,0;MC;;401;;F Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_401_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Fezandipiti ex;ASC 142;17;1;17;20;85,0;ASC;;142;Double Rare;D Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Dudunsparce;ASC 164;76;4;20;20;100,0;ASC;;164;Double Rare;C Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_164_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Dunsparce;MC 574;80;4;20;20;100,0;MC;;574;;C Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_574_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Fan Rotom;ASC 171;33;2;19;20;95,0;ASC;;171;Common;C Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_171_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Bloodmoon Ursaluna ex;MC 625;2;1;2;20;10,0;MC;;625;;C Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_625_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Alakazam;MEG 56;63;4;20;20;100,0;;;;;;;No
Meta Live;;Alakazam Dudunsparce;Kadabra;MEG 55;65;4;20;20;100,0;;;;;;;No
Meta Live;;Alakazam Dudunsparce;Iron Bundle;PAR 56;1;1;1;20;5,0;;;;;;;No
Meta Live;;Alakazam Dudunsparce;Psychic Energy;SVE 21;75;5;20;20;100,0;SVE;SVE;21;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_021_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Buddy-Buddy Poffin;ASC 184;80;4;20;20;100,0;ASC;;184;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_184_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Enhanced Hammer;M2a 148;36;2;20;20;100,0;M2a;;148;;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/M2A/M2A_148_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Night Stretcher;ASC 196;37;2;20;20;100,0;ASC;;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;No
Meta Live;;Alakazam Dudunsparce;Rare Candy;MC 655;61;4;20;20;100,0;MC;;655;;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_655_R_EN_LG.png;No
