rank;deck_name;count;share;share_numeric;wins;losses;ties;win_rate;win_rate_numeric
1;Dragapult Dusknoir;5704;10.98%;10,98;13726;12578;519;51.17%;51,17
2;Gholdengo Lunatone;4554;8.76%;8,76;11439;9977;478;52.25%;52,25
3;Gardevoir Jellicent;2486;4.78%;4,78;5716;5328;362;50.11%;50,11
4;Charizard Noctowl;2416;4.65%;4,65;6143;5404;241;52.11%;52,11
6;Charizard Pidgeot;2179;4.19%;4,19;4686;4811;244;48.11%;48,11
7;Mega Absol Box;2141;4.12%;4,12;4785;4549;276;49.79%;49,79
8;Alakazam Dudunsparce;2120;4.08%;4,08;4991;4630;196;50.84%;50,84
9;Grimmsnarl Froslass;1975;3.80%;3,8;4868;4246;212;52.20%;52,2
10;N's Zoroark;1910;3.68%;3,68;3888;4144;189;47.29%;47,29
11;Kangaskhan Bouffalant;1715;3.30%;3,3;4132;3748;213;51.06%;51,06
12;Gardevoir;1555;2.99%;2,99;3897;3343;228;52.18%;52,18
13;Raging Bolt Ogerpon;1303;2.51%;2,51;3043;2893;115;50.29%;50,29
14;Lopunny Dusknoir;1277;2.46%;2,46;2623;2811;56;47.78%;47,78
15;Ceruledge;1233;2.37%;2,37;2651;2718;91;48.55%;48,55
16;Dragapult Charizard;976;1.88%;1,88;2540;2170;93;52.88%;52,88
17;Tera Box;897;1.73%;1,73;1917;1942;68;48.82%;48,82
18;Mega Venusaur;732;1.41%;1,41;1564;1789;54;45.91%;45,91
19;Sharpedo Toxtricity;726;1.40%;1,4;1387;1708;48;44.13%;44,13
20;Greninja;720;1.39%;1,39;1635;1653;51;48.97%;48,97
21;Flareon Noctowl;717;1.38%;1,38;1414;1575;69;46.24%;46,24
22;Lucario Hariyama;689;1.33%;1,33;1557;1553;67;49.01%;49,01
23;Gholdengo;559;1.08%;1,08;1292;1320;33;48.85%;48,85
24;Joltik Box;548;1.05%;1,05;1245;1209;58;49.56%;49,56
25;Cynthia's Garchomp;528;1.02%;1,02;1107;1157;54;47.76%;47,76
26;Froslass Munkidori;497;0.96%;0,96;1004;1079;35;47.40%;47,4
27;Slowking;461;0.89%;0,89;874;1017;27;45.57%;45,57
28;Seaking Festival Lead;443;0.85%;0,85;1117;958;32;53.01%;53,01
29;Festival Lead;394;0.76%;0,76;879;820;33;50.75%;50,75
30;Hydreigon;368;0.71%;0,71;577;849;13;40.10%;40,1
31;Dragapult;366;0.70%;0,7;824;777;44;50.09%;50,09
32;Pidgeot Control;353;0.68%;0,68;738;732;99;47.04%;47,04
33;Rocket's Mewtwo;337;0.65%;0,65;670;820;16;44.49%;44,49
34;Crustle;336;0.65%;0,65;766;780;48;48.06%;48,06
35;Toxtricity Box;333;0.64%;0,64;624;711;35;45.55%;45,55
36;Ethan's Typhlosion;324;0.62%;0,62;677;769;20;46.18%;46,18
37;Ursaluna Lunatone;227;0.44%;0,44;533;539;22;48.72%;48,72
38;Mega Lucario;203;0.39%;0,39;387;433;7;46.80%;46,8
39;Iron Hands Magneton;199;0.38%;0,38;387;437;7;46.57%;46,57
40;Gholdengo Joltik Box;197;0.38%;0,38;408;397;9;50.12%;50,12
41;Ho-Oh Armarouge;196;0.38%;0,38;398;433;8;47.44%;47,44
42;Mega Charizard X;193;0.37%;0,37;270;472;14;35.71%;35,71
43;Ogerpon Meganium;185;0.36%;0,36;402;430;5;48.03%;48,03
44;Marnie's Grimmsnarl;176;0.34%;0,34;310;380;20;43.66%;43,66
45;Roaring Moon;155;0.30%;0,3;304;316;10;48.25%;48,25
46;Hop's Zacian;149;0.29%;0,29;231;327;6;40.96%;40,96
47;Slaking;144;0.28%;0,28;268;316;4;45.58%;45,58
48;Hydrapple Ogerpon;138;0.27%;0,27;268;325;10;44.44%;44,44
49;Kangaskhan Forretress;133;0.26%;0,26;271;295;5;47.46%;47,46
50;Archaludon;133;0.26%;0,26;266;301;12;45.94%;45,94
51;Chien-Pao Baxcalibur;119;0.23%;0,23;202;283;8;40.97%;40,97
52;Iron Valiant;118;0.23%;0,23;266;251;3;51.15%;51,15
53;Conkeldurr;114;0.22%;0,22;260;279;11;47.27%;47,27
54;Manectric Eelektrik;111;0.21%;0,21;192;253;7;42.48%;42,48
55;Mega Lopunny;109;0.21%;0,21;217;251;6;45.78%;45,78
56;Wugtrio Mill;108;0.21%;0,21;196;273;5;41.35%;41,35
57;Charizard;106;0.20%;0,2;169;260;13;38.24%;38,24
58;Terapagos Noctowl;103;0.20%;0,2;198;221;4;46.81%;46,81
59;Raging Bolt;89;0.17%;0,17;149;214;0;41.05%;41,05
60;Feraligatr;82;0.16%;0,16;131;196;10;38.87%;38,87
61;Iron Thorns Crustle;80;0.15%;0,15;151;158;7;47.78%;47,78
62;Mega Abomasnow;79;0.15%;0,15;141;222;3;38.52%;38,52
63;Zoroark Crustle;73;0.14%;0,14;170;165;18;48.16%;48,16
64;Tyranitar;72;0.14%;0,14;95;158;3;37.11%;37,11
65;Great Tusk Mill;69;0.13%;0,13;117;130;2;46.99%;46,99
66;Mega Kangaskhan;66;0.13%;0,13;98;152;7;38.13%;38,13
67;Rocket's Spidops;65;0.13%;0,13;125;151;8;44.01%;44,01
68;Dragapult Blaziken;64;0.12%;0,12;115;124;4;47.33%;47,33
69;Yanmega;64;0.12%;0,12;112;132;7;44.62%;44,62
70;Paldean Tauros;63;0.12%;0,12;126;149;3;45.32%;45,32
71;Alakazam;57;0.11%;0,11;88;129;3;40.00%;40,0
72;Palafin;56;0.11%;0,11;91;122;6;41.55%;41,55
73;Mega Latias;56;0.11%;0,11;88;144;3;37.45%;37,45
74;Hydrapple;54;0.10%;0,1;95;121;3;43.38%;43,38
75;Iono's Bellibolt;49;0.09%;0,09;100;121;1;45.05%;45,05
76;Flareon;49;0.09%;0,09;64;122;0;34.41%;34,41
77;Tsareena;48;0.09%;0,09;68;135;1;33.33%;33,33
78;Ancient Box;47;0.09%;0,09;93;85;3;51.38%;51,38
79;Okidogi;47;0.09%;0,09;97;102;2;48.26%;48,26
80;Mega Camerupt;47;0.09%;0,09;54;104;4;33.33%;33,33
81;Raging Bolt Bellibolt;46;0.09%;0,09;91;123;0;42.52%;42,52
82;Poison Latias;46;0.09%;0,09;77;107;3;41.18%;41,18
83;Blissey;45;0.09%;0,09;69;95;1;41.82%;41,82
84;Blaziken;41;0.08%;0,08;59;100;0;37.11%;37,11
85;Rocket's Porygon-Z;38;0.07%;0,07;47;85;3;34.81%;34,81
86;Ethan's Magcargo;37;0.07%;0,07;79;73;1;51.63%;51,63
87;Iron Thorns;36;0.07%;0,07;53;65;2;44.17%;44,17
88;Mamoswine;36;0.07%;0,07;61;83;2;41.78%;41,78
89;Tinkaton;29;0.06%;0,06;57;75;1;42.86%;42,86
90;United Wings;28;0.05%;0,05;43;66;1;39.09%;39,09
91;Gholdengo Typhlosion;27;0.05%;0,05;52;58;1;46.85%;46,85
92;Mega Manectric;26;0.05%;0,05;28;62;0;31.11%;31,11
93;Toedscruel;24;0.05%;0,05;48;58;1;44.86%;44,86
94;Future Box;22;0.04%;0,04;55;55;0;50.00%;50,0
95;Heatran Metang;22;0.04%;0,04;44;49;0;47.31%;47,31
96;Mega Sharpedo;22;0.04%;0,04;27;61;1;30.34%;30,34
97;Charizard Dragapult;21;0.04%;0,04;36;38;1;48.00%;48,0
98;Okidogi;21;0.04%;0,04;37;51;0;42.05%;42,05
99;Lopunny Dudunsparce;21;0.04%;0,04;38;53;1;41.30%;41,3
100;Scovillain;21;0.04%;0,04;23;46;1;32.86%;32,86
101;Rocket's Nidoking;21;0.04%;0,04;27;56;0;32.53%;32,53
102;Flygon;20;0.04%;0,04;45;53;0;45.92%;45,92
103;Azumarill;20;0.04%;0,04;40;49;4;43.01%;43,01
104;Gholdengo Dudunsparce;19;0.04%;0,04;24;37;0;39.34%;39,34
105;Miraidon Eelektrik;18;0.03%;0,03;37;41;0;47.44%;47,44
106;Blaziken Zoroark;18;0.03%;0,03;22;34;2;37.93%;37,93
107;Future Hands;17;0.03%;0,03;28;31;0;47.46%;47,46
108;Espathra Xatu;17;0.03%;0,03;30;34;1;46.15%;46,15
109;Gouging Fire;16;0.03%;0,03;40;37;4;49.38%;49,38
110;Forretress;16;0.03%;0,03;26;32;0;44.83%;44,83
111;Miraidon;16;0.03%;0,03;21;49;0;30.00%;30,0
112;Charizard Greninja;15;0.03%;0,03;35;38;3;46.05%;46,05
113;Poison Archaludon;14;0.03%;0,03;33;30;2;50.77%;50,77
114;Dragapult Froslass;14;0.03%;0,03;24;27;0;47.06%;47,06
115;Sinistcha Ogerpon;14;0.03%;0,03;30;35;0;46.15%;46,15
116;Milotic;14;0.03%;0,03;21;28;2;41.18%;41,18
117;Bloodmoon Ursaluna;13;0.03%;0,03;31;29;0;51.67%;51,67
118;Roaring Moon Dudunsparce;13;0.03%;0,03;27;25;2;50.00%;50,0
119;Charizard Dusknoir;13;0.03%;0,03;18;33;0;35.29%;35,29
120;Poison Terapagos;13;0.03%;0,03;9;26;0;25.71%;25,71
121;Copperajah;12;0.02%;0,02;23;20;0;53.49%;53,49
122;Clefairy Ogerpon;12;0.02%;0,02;26;30;0;46.43%;46,43
123;Zoroark Lucario;12;0.02%;0,02;16;33;0;32.65%;32,65
124;Dragapult Pidgeot;11;0.02%;0,02;16;20;1;43.24%;43,24
125;Spidops;11;0.02%;0,02;23;32;1;41.07%;41,07
126;Greninja Blaziken;11;0.02%;0,02;22;33;1;39.29%;39,29
127;Cinderace;11;0.02%;0,02;11;23;0;32.35%;32,35
128;Archaludon Dudunsparce;10;0.02%;0,02;27;22;0;55.10%;55,1
129;Meowscarada;10;0.02%;0,02;18;21;2;43.90%;43,9
130;Farigiraf Milotic;10;0.02%;0,02;17;26;1;38.64%;38,64
131;Alakazam;9;0.02%;0,02;12;21;1;35.29%;35,29
132;Mimikyu Ogerpon;9;0.02%;0,02;14;27;1;33.33%;33,33
133;Misty's Gyarados;9;0.02%;0,02;10;21;0;32.26%;32,26
134;Greninja Froslass;8;0.02%;0,02;7;19;0;26.92%;26,92
135;Dragapult Iron Thorns;7;0.01%;0,01;12;17;0;41.38%;41,38
136;Ogerpon;7;0.01%;0,01;13;22;1;36.11%;36,11
137;Garchomp;7;0.01%;0,01;5;16;0;23.81%;23,81
138;Gholdengo Dragapult;6;0.01%;0,01;14;14;0;50.00%;50,0
139;Espathra;6;0.01%;0,01;13;14;0;48.15%;48,15
140;Venomoth Froslass;6;0.01%;0,01;11;17;1;37.93%;37,93
141;Archaludon Zoroark;6;0.01%;0,01;7;12;0;36.84%;36,84
142;Dragapult Zoroark;4;0.01%;0,01;14;10;0;58.33%;58,33
143;Chien-Pao Noctowl;4;0.01%;0,01;12;11;0;52.17%;52,17
144;Espathra Froslass;4;0.01%;0,01;10;10;1;47.62%;47,62
145;Salamence;4;0.01%;0,01;7;8;0;46.67%;46,67
146;Incineroar;4;0.01%;0,01;11;13;0;45.83%;45,83
147;Cornerstone Mask Ogerpon;4;0.01%;0,01;7;9;1;41.18%;41,18
148;Ting-Lu;4;0.01%;0,01;6;9;0;40.00%;40,0
149;Galvantula;4;0.01%;0,01;5;8;0;38.46%;38,46
150;Gengar;4;0.01%;0,01;7;12;0;36.84%;36,84
151;Magnezone;4;0.01%;0,01;0;12;0;0.00%;0,0
152;Scizor;3;0.01%;0,01;5;4;1;50.00%;50,0
153;Alolan Exeggutor ex;3;0.01%;0,01;5;9;0;35.71%;35,71
154;Luxray;3;0.01%;0,01;3;6;0;33.33%;33,33
155;Gothitelle;3;0.01%;0,01;3;11;0;21.43%;21,43
156;Steelix;2;0.00%;0,0;10;5;0;66.67%;66,67
157;Steelix Dodrio;2;0.00%;0,0;3;4;1;37.50%;37,5
158;Raging Bolt Sandy Shocks;2;0.00%;0,0;1;2;0;33.33%;33,33
