deck_name;status;trend;old_rank;new_rank;rank_change;old_count;new_count;count_change;old_share;new_share;share_change;old_winrate;new_winrate;winrate_change
Dragapult Dusknoir;BESTEHEND;STABIL;1;1;0;4998;4998;0;10,7;10,7;0,0;51,26;51,26;0,0
Gholdengo Lunatone;BESTEHEND;STABIL;2;2;0;4202;4202;0;8,99;8,99;0,0;52,28;52,28;0,0
Gardevoir Jellicent;BESTEHEND;STABIL;3;3;0;2322;2322;0;4,97;4,97;0,0;50,01;50,01;0,0
Charizard Noctowl;BESTEHEND;STABIL;4;4;0;2275;2275;0;4,87;4,87;0,0;52,29;52,29;0,0
Charizard Pidgeot;BESTEHEND;STABIL;5;5;0;2057;2057;0;4,4;4,4;0,0;48,06;48,06;0,0
Alakazam Dudunsparce;BESTEHEND;STABIL;6;6;0;1902;1902;0;4,07;4,07;0,0;51,04;51,04;0,0
Mega Absol Box;BESTEHEND;STABIL;7;7;0;1843;1843;0;3,95;3,95;0,0;49,4;49,4;0,0
Grimmsnarl Froslass;BESTEHEND;STABIL;9;9;0;1729;1729;0;3,7;3,7;0,0;52,01;52,01;0,0
N's Zoroark;BESTEHEND;STABIL;10;10;0;1653;1653;0;3,54;3,54;0,0;47,02;47,02;0,0
Kangaskhan Bouffalant;BESTEHEND;STABIL;11;11;0;1630;1630;0;3,49;3,49;0,0;51,08;51,08;0,0
Gardevoir;BESTEHEND;STABIL;12;12;0;1403;1403;0;3,0;3,0;0,0;51,67;51,67;0,0
Lopunny Dusknoir;BESTEHEND;STABIL;13;13;0;1241;1241;0;2,66;2,66;0,0;47,85;47,85;0,0
Raging Bolt Ogerpon;BESTEHEND;STABIL;14;14;0;1160;1160;0;2,48;2,48;0,0;50,38;50,38;0,0
Ceruledge;BESTEHEND;STABIL;15;15;0;1156;1156;0;2,47;2,47;0,0;48,7;48,7;0,0
Tera Box;BESTEHEND;STABIL;16;16;0;837;837;0;1,79;1,79;0,0;48,44;48,44;0,0
Dragapult Charizard;BESTEHEND;STABIL;17;17;0;815;815;0;1,74;1,74;0,0;53,16;53,16;0,0
Sharpedo Toxtricity;BESTEHEND;STABIL;18;18;0;687;687;0;1,47;1,47;0,0;43,63;43,63;0,0
Flareon Noctowl;BESTEHEND;STABIL;19;19;0;637;637;0;1,36;1,36;0,0;46,66;46,66;0,0
Mega Venusaur;BESTEHEND;STABIL;20;20;0;636;636;0;1,36;1,36;0,0;45,29;45,29;0,0
Greninja;BESTEHEND;STABIL;21;21;0;621;621;0;1,33;1,33;0,0;48,69;48,69;0,0
Lucario Hariyama;BESTEHEND;STABIL;22;22;0;567;567;0;1,21;1,21;0,0;49,98;49,98;0,0
Gholdengo;BESTEHEND;STABIL;23;23;0;539;539;0;1,15;1,15;0,0;48,9;48,9;0,0
Joltik Box;BESTEHEND;STABIL;24;24;0;488;488;0;1,04;1,04;0,0;49,35;49,35;0,0
Cynthia's Garchomp;BESTEHEND;STABIL;25;25;0;478;478;0;1,02;1,02;0,0;48,49;48,49;0,0
Seaking Festival Lead;BESTEHEND;STABIL;26;26;0;412;412;0;0,88;0,88;0,0;53,44;53,44;0,0
Slowking;BESTEHEND;STABIL;27;27;0;398;398;0;0,85;0,85;0,0;44,91;44,91;0,0
Froslass Munkidori;BESTEHEND;STABIL;28;28;0;369;369;0;0,79;0,79;0,0;46,94;46,94;0,0
Hydreigon;BESTEHEND;STABIL;29;29;0;365;365;0;0,78;0,78;0,0;40,15;40,15;0,0
Festival Lead;BESTEHEND;STABIL;30;30;0;332;332;0;0,71;0,71;0,0;51,26;51,26;0,0
Toxtricity Box;BESTEHEND;STABIL;31;31;0;322;322;0;0,69;0,69;0,0;45,67;45,67;0,0
Dragapult;BESTEHEND;STABIL;32;32;0;316;316;0;0,68;0,68;0,0;50,07;50,07;0,0
Pidgeot Control;BESTEHEND;STABIL;33;33;0;312;312;0;0,67;0,67;0,0;46,91;46,91;0,0
Ethan's Typhlosion;BESTEHEND;STABIL;34;34;0;305;305;0;0,65;0,65;0,0;45,88;45,88;0,0
Crustle;BESTEHEND;STABIL;35;35;0;294;294;0;0,63;0,63;0,0;46,53;46,53;0,0
Rocket's Mewtwo;BESTEHEND;STABIL;36;36;0;263;263;0;0,56;0,56;0,0;44,76;44,76;0,0
Ursaluna Lunatone;BESTEHEND;STABIL;37;37;0;215;215;0;0,46;0,46;0,0;48,99;48,99;0,0
Gholdengo Joltik Box;BESTEHEND;STABIL;38;38;0;191;191;0;0,41;0,41;0,0;49,87;49,87;0,0
Mega Charizard X;BESTEHEND;STABIL;39;39;0;185;185;0;0,4;0,4;0,0;35,96;35,96;0,0
Marnie's Grimmsnarl;BESTEHEND;STABIL;40;40;0;173;173;0;0,37;0,37;0,0;43,95;43,95;0,0
Ho-Oh Armarouge;BESTEHEND;STABIL;41;41;0;170;170;0;0,36;0,36;0,0;46,71;46,71;0,0
Ogerpon Meganium;BESTEHEND;STABIL;42;42;0;159;159;0;0,34;0,34;0,0;48,61;48,61;0,0
Iron Hands Magneton;BESTEHEND;STABIL;43;43;0;153;153;0;0,33;0,33;0,0;46,6;46,6;0,0
Roaring Moon;BESTEHEND;STABIL;44;44;0;148;148;0;0,32;0,32;0,0;48,58;48,58;0,0
Mega Lucario;BESTEHEND;STABIL;45;45;0;148;148;0;0,32;0,32;0,0;45,67;45,67;0,0
Slaking;BESTEHEND;STABIL;46;46;0;142;142;0;0,3;0,3;0,0;45,72;45,72;0,0
Hop's Zacian;BESTEHEND;STABIL;47;47;0;138;138;0;0,3;0,3;0,0;40,9;40,9;0,0
Hydrapple Ogerpon;BESTEHEND;STABIL;48;48;0;124;124;0;0,27;0,27;0,0;43,89;43,89;0,0
Kangaskhan Forretress;BESTEHEND;STABIL;49;49;0;121;121;0;0,26;0,26;0,0;46,61;46,61;0,0
Archaludon;BESTEHEND;STABIL;50;50;0;118;118;0;0,25;0,25;0,0;45,47;45,47;0,0
Chien-Pao Baxcalibur;BESTEHEND;STABIL;51;51;0;113;113;0;0,24;0,24;0,0;40,22;40,22;0,0
Mega Lopunny;BESTEHEND;STABIL;52;52;0;106;106;0;0,23;0,23;0,0;45,99;45,99;0,0
Conkeldurr;BESTEHEND;STABIL;53;53;0;103;103;0;0,22;0,22;0,0;47,15;47,15;0,0
Manectric Eelektrik;BESTEHEND;STABIL;54;54;0;102;102;0;0,22;0,22;0,0;42,72;42,72;0,0
Charizard;BESTEHEND;STABIL;55;55;0;102;102;0;0,22;0,22;0,0;38,89;38,89;0,0
Iron Valiant;BESTEHEND;STABIL;56;56;0;101;101;0;0,22;0,22;0,0;51,84;51,84;0,0
Terapagos Noctowl;BESTEHEND;STABIL;57;57;0;101;101;0;0,22;0,22;0,0;47,47;47,47;0,0
Wugtrio Mill;BESTEHEND;STABIL;58;58;0;101;101;0;0,22;0,22;0,0;41,56;41,56;0,0
Raging Bolt;BESTEHEND;STABIL;59;59;0;85;85;0;0,18;0,18;0,0;41,26;41,26;0,0
Mega Abomasnow;BESTEHEND;STABIL;60;60;0;74;74;0;0,16;0,16;0,0;38,71;38,71;0,0
Iron Thorns Crustle;BESTEHEND;STABIL;61;61;0;71;71;0;0,15;0,15;0,0;48,63;48,63;0,0
Zoroark Crustle;BESTEHEND;STABIL;62;62;0;68;68;0;0,15;0,15;0,0;48,13;48,13;0,0
Feraligatr;BESTEHEND;STABIL;63;63;0;63;63;0;0,13;0,13;0,0;39,53;39,53;0,0
Great Tusk Mill;BESTEHEND;STABIL;64;64;0;62;62;0;0,13;0,13;0,0;47,58;47,58;0,0
