deck_name;opponent;win_rate;record;total_games
Dragapult Dusknoir;Alakazam Dudunsparce;62,79;594 - 352 - 22;968
Dragapult Dusknoir;Charizard Noctowl;59,82;789 - 530 - 29;1348
Dragapult Dusknoir;Flareon Noctowl;59,72;169 - 114 - 5;288
Dragapult Dusknoir;Greninja;58,45;204 - 145 - 4;353
Dragapult Dusknoir;Mega Venusaur;57,77;197 - 144 - 9;350
Dragapult Dusknoir;Charizard Pidgeot;56,44;543 - 419 - 20;982
Dragapult Dusknoir;Lopunny Dusknoir;55,31;297 - 240 - 3;540
Dragapult Dusknoir;Sharpedo Toxtricity;53,15;152 - 134 - 2;288
Dragapult Dusknoir;Dragapult Charizard;51,97;251 - 232 - 7;490
Dragapult Dusknoir;Ceruledge;51,08;284 - 272 - 9;565
Dragapult Dusknoir;Raging Bolt Ogerpon;50,97;315 - 303 - 14;632
Dragapult Dusknoir;Dragapult Dusknoir;50,0;1386 - 1386 - 62;2834
Dragapult Dusknoir;Tera Box;49,75;198 - 200 - 7;405
Dragapult Dusknoir;N's Zoroark;49,4;370 - 379 - 20;769
Dragapult Dusknoir;Gardevoir Jellicent;46,42;519 - 599 - 30;1148
Dragapult Dusknoir;Grimmsnarl Froslass;46,29;456 - 529 - 19;1004
Dragapult Dusknoir;Gholdengo Lunatone;45,43;1035 - 1243 - 49;2327
Dragapult Dusknoir;Kangaskhan Bouffalant;44,75;358 - 442 - 23;823
Dragapult Dusknoir;Mega Absol Box;44,32;382 - 480 - 25;887
Dragapult Dusknoir;Gardevoir;41,07;315 - 452 - 14;781
Gholdengo Lunatone;Sharpedo Toxtricity;68,38;173 - 80 - 1;254
Gholdengo Lunatone;Lopunny Dusknoir;65,09;330 - 177 - 7;514
Gholdengo Lunatone;Mega Venusaur;60,39;154 - 101 - 6;261
Gholdengo Lunatone;N's Zoroark;59,64;396 - 268 - 20;684
Gholdengo Lunatone;Greninja;56,25;144 - 112 - 9;265
Gholdengo Lunatone;Mega Absol Box;54,83;409 - 337 - 21;767
Gholdengo Lunatone;Dragapult Dusknoir;54,57;1243 - 1035 - 49;2327
Gholdengo Lunatone;Raging Bolt Ogerpon;53,8;276 - 237 - 9;522
Gholdengo Lunatone;Kangaskhan Bouffalant;53,61;408 - 353 - 18;779
Gholdengo Lunatone;Charizard Pidgeot;53,42;468 - 408 - 14;890
Gholdengo Lunatone;Grimmsnarl Froslass;52,59;386 - 348 - 22;756
Gholdengo Lunatone;Tera Box;51,44;179 - 169 - 7;355
Gholdengo Lunatone;Gardevoir;51,16;310 - 296 - 29;635
Gholdengo Lunatone;Gardevoir Jellicent;50,47;534 - 524 - 66;1124
Gholdengo Lunatone;Gholdengo Lunatone;50,0;1076 - 1076 - 38;2190
Gholdengo Lunatone;Charizard Noctowl;47,36;556 - 618 - 23;1197
Gholdengo Lunatone;Dragapult Charizard;46,35;178 - 206 - 4;388
Gholdengo Lunatone;Flareon Noctowl;45,42;109 - 131 - 10;250
Gholdengo Lunatone;Ceruledge;42,04;198 - 273 - 6;477
Gholdengo Lunatone;Alakazam Dudunsparce;38,69;330 - 523 - 11;864
Gardevoir Jellicent;Mega Venusaur;67,2;84 - 41 - 3;128
Gardevoir Jellicent;Greninja;63,16;84 - 49 - 1;134
Gardevoir Jellicent;Raging Bolt Ogerpon;62,73;170 - 101 - 5;276
Gardevoir Jellicent;Flareon Noctowl;61,11;77 - 49 - 3;129
Gardevoir Jellicent;Alakazam Dudunsparce;55,09;238 - 194 - 17;449
Gardevoir Jellicent;Tera Box;54,95;100 - 82 - 3;185
Gardevoir Jellicent;Ceruledge;53,97;136 - 116 - 7;259
Gardevoir Jellicent;Dragapult Dusknoir;53,58;599 - 519 - 30;1148
Gardevoir Jellicent;Dragapult Charizard;53,19;100 - 88 - 8;196
Gardevoir Jellicent;Gardevoir;50,86;178 - 172 - 12;362
Gardevoir Jellicent;Gardevoir Jellicent;50,0;279 - 279 - 26;584
Gardevoir Jellicent;Gholdengo Lunatone;49,53;524 - 534 - 66;1124
Gardevoir Jellicent;Lopunny Dusknoir;48,03;134 - 145 - 0;279
Gardevoir Jellicent;Sharpedo Toxtricity;43,42;66 - 86 - 4;156
Gardevoir Jellicent;Charizard Pidgeot;43,23;201 - 264 - 26;491
Gardevoir Jellicent;Kangaskhan Bouffalant;43,08;165 - 218 - 21;404
Gardevoir Jellicent;Mega Absol Box;41,43;174 - 246 - 17;437
Gardevoir Jellicent;Grimmsnarl Froslass;39,95;157 - 236 - 9;402
Gardevoir Jellicent;Charizard Noctowl;39,46;236 - 362 - 9;607
Gardevoir Jellicent;N's Zoroark;36,87;125 - 214 - 11;350
Charizard Noctowl;Sharpedo Toxtricity;64,29;72 - 40 - 2;114
Charizard Noctowl;Alakazam Dudunsparce;62,34;293 - 177 - 9;479
