# Fenster 2026-08-27 bis 2026-09-10 (14 Tage) · 10100 Decks im Fenster · 43668 kumulativ seit Formatbeginn. count_fenster ist die Differenz zweier gemessener Kumulativstaende, keine Schaetzung. Erzeugt von scripts/build_online_fenster.py
deck_name;rank_fenster;count_fenster;share_fenster;count_kumulativ;share_kumulativ;rang_kumulativ;rang_versatz;share_vorfenster;trend_fenster
Dragapult;1;1119;11,08;3644;8,34;1;0;9,21;1,87
Alakazam Dudunsparce;2;814;8,06;2728;6,25;3;1;6,08;1,98
Dragapult Dusknoir;3;664;6,57;2543;5,82;4;1;5,36;1,21
N's Zoroark;4;586;5,8;2395;5,48;8;4;5,1;0,7
Slowking;5;528;5,23;2465;5,64;7;2;6,51;-1,28
Mega Excadrill;6;504;4,99;3177;7,28;2;-4;7,84;-2,85
Dragapult Blaziken;7;411;4,07;2495;5,71;5;-2;6,34;-2,27
Dhelmise;8;379;3,75;1784;4,09;9;1;3,58;0,17
Basic Box;9;346;3,43;863;1,98;14;5;1,75;1,68
Festival Lead;10;327;3,24;2494;5,71;6;-4;5,5;-2,26
Grimmsnarl Froslass;11;251;2,49;1776;4,07;10;-1;4,2;-1,71
Mega Lucario;12;241;2,39;917;2,1;13;1;2,88;-0,49
Crustle;13;237;2,35;508;1,16;20;7;0,85;1,5
Lucario Hariyama;14;219;2,17;832;1,91;15;1;2,05;0,12
Raging Bolt Ogerpon;15;179;1,77;945;2,16;12;-3;3,4;-1,63
Lopunny Dudunsparce;16;167;1,65;361;0,83;25;9;0,76;0,89
Alakazam Dusknoir;17;161;1,59;191;0,44;41;24;0,0;1,59
Rocket's Mewtwo;18;160;1,58;419;0,96;23;5;0,7;0,88
Ogerpon Meganium Hydrapple;19;156;1,54;634;1,45;17;-2;1,21;0,33
Cynthia's Garchomp;20;146;1,45;565;1,29;19;-1;1,19;0,26
Rocket's Honchkrow;21;141;1,4;587;1,34;18;-3;1,15;0,25
Lopunny Dusknoir;22;122;1,21;330;0,76;29;7;1,41;-0,2
Sharpedo Toxtricity;23;116;1,15;183;0,42;43;20;0,24;0,91
Mega Greninja;24;106;1,05;649;1,49;16;-8;1,22;-0,17
Starmie Froslass;25;96;0,95;325;0,74;30;5;0,72;0,23
Beedrill;26;90;0,89;473;1,08;22;-4;0,85;0,04
Greninja;27;89;0,88;349;0,8;27;0;1,01;-0,13
Hop's Trevenant;28;88;0,87;333;0,76;28;0;0,86;0,01
Mega Chandelure;29;88;0,87;494;1,13;21;-8;0,91;-0,04
Toxtricity Box;30;85;0,84;315;0,72;31;1;0,58;0,26
Kangaskhan Bouffalant;31;78;0,77;358;0,82;26;-5;0,73;0,04
Ogerpon Meganium Arboliva;32;73;0,72;266;0,61;35;3;1,08;-0,36
Dragapult Dudunsparce;33;72;0,71;275;0,63;34;1;0,93;-0,22
Seaking Festival Lead;34;68;0,67;73;0,17;63;29;0,02;0,65
Toucannon;35;66;0,65;1049;2,4;11;-24;1,29;-0,64
Mega Darkrai;36;63;0,62;216;0,49;38;2;0,25;0,37
Ethan's Typhlosion;37;51;0,5;308;0,71;33;-4;0,78;-0,28
Starmie Dusknoir;38;50;0,5;206;0,47;39;1;0,58;-0,08
Steven's Metagross;39;48;0,48;157;0,36;44;5;0,32;0,16
Mega Starmie;40;44;0,44;205;0,47;40;0;0,56;-0,12
Mega Venusaur;41;42;0,42;241;0,55;37;-4;0,41;0,01
Cinccino;42;40;0,4;183;0,42;42;0;0,4;-0,0
Manectric Eelektrik;43;38;0,38;310;0,71;32;-11;0,72;-0,34
Mega Absol Box;44;38;0,38;396;0,91;24;-20;0,44;-0,06
Ceruledge;45;36;0,36;264;0,6;36;-9;0,6;-0,24
Toxtricity;46;34;0,34;157;0,36;45;-1;0,3;0,04
Hop's Zacian;47;32;0,32;80;0,18;60;13;0,16;0,16
Hydreigon;48;31;0,31;90;0,21;56;8;0,2;0,11
Mega Charizard X;49;27;0,27;95;0,22;54;5;0,17;0,1
Clefairy Ogerpon;50;26;0,26;131;0,3;47;-3;0,58;-0,32
Okidogi Barbaracle;51;25;0,25;116;0,27;49;-2;0,3;-0,05
Froslass Munkidori;52;24;0,24;117;0,27;48;-4;0,21;0,03
Alakazam;53;21;0,21;27;0,06;84;31;0,01;0,2
Diancie Dusknoir;54;19;0,19;78;0,18;61;7;0,18;0,01
Flareon Noctowl;55;19;0,19;88;0,2;57;2;0,18;0,01
Lillie's Clefairy;56;19;0,19;110;0,25;51;-5;0,3;-0,11
Blaziken Zoroark;57;18;0,18;143;0,33;46;-11;0,28;-0,1
Mega Abomasnow;58;18;0,18;103;0,24;52;-6;0,2;-0,02
Metagross;59;16;0,16;92;0,21;55;-4;0,21;-0,05
Ogerpon Meganium;60;16;0,16;61;0,14;66;6;0,15;0,01
Doublade;61;15;0,15;84;0,19;58;-3;0,18;-0,03
Dudunsparce Control;62;15;0,15;27;0,06;83;21;0,01;0,14
Mega Froslass;63;15;0,15;103;0,24;53;-10;0,42;-0,27
Mega Camerupt;64;14;0,14;39;0,09;79;15;0,08;0,06
Archaludon Dudunsparce;65;13;0,13;33;0,08;80;15;0,05;0,08
Azumarill;66;13;0,13;44;0,1;74;8;0,15;-0,02
Ursaluna Lunatone;67;12;0,12;49;0,11;72;5;0,11;0,01
Decidueye;68;10;0,1;42;0,1;76;8;0,07;0,03
Mamoswine;69;10;0,1;24;0,05;89;20;0,08;0,02
Marnie's Grimmsnarl;70;10;0,1;70;0,16;64;-6;0,11;-0,01
Mega Dragonite;71;10;0,1;80;0,18;59;-12;0,18;-0,08
Rocket's Spidops;72;10;0,1;23;0,05;92;20;0,01;0,09
Bronzong;73;9;0,09;47;0,11;73;0;0,16;-0,07
Dragapult Froslass;74;8;0,08;27;0,06;85;11;0,03;0,05
Joltik Box;75;8;0,08;30;0,07;81;6;0,06;0,02
Mega Lopunny;76;8;0,08;18;0,04;99;23;0,0;0,08
Palafin;77;8;0,08;57;0,13;69;-8;0,2;-0,12
Sylveon;78;8;0,08;19;0,04;97;19;0,04;0,04
Wailord;79;8;0,08;115;0,26;50;-29;0,1;-0,02
Yanmega;80;8;0,08;40;0,09;78;-2;0,08;0,0
Greninja Blaziken;81;7;0,07;23;0,05;93;12;0,04;0,03
Iono's Bellibolt;82;7;0,07;50;0,11;71;-11;0,09;-0,02
Misty's Gyarados;83;7;0,07;22;0,05;94;11;0,04;0,03
Eelektrik;84;6;0,06;23;0,05;91;7;0,03;0,03
Erika's Victreebel;85;6;0,06;62;0,14;65;-20;0,05;0,01
Froslass Dudunsparce;86;6;0,06;60;0,14;67;-19;0,19;-0,13
Jellicent Dusknoir;87;6;0,06;28;0,06;82;-5;0,07;-0,01
