tournament_id;date;meta;players;archetype_id;archetype_name;lists;lists_total;share;wins;losses;ties;matches;win_rate;win_rate_convention;record_source
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;dragapult-dusknoir;Dragapult Dusknoir;8;104;0.076923;12;22;1;35;0.342857;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;dragapult-ex;Dragapult;8;104;0.076923;20;21;0;41;0.487805;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;n-zoroark;N's Zoroark;7;104;0.067308;14;24;0;38;0.368421;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;slowking-scr;Slowking;6;104;0.057692;9;12;0;21;0.428571;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;basic-box-m;Basic Box;6;104;0.057692;14;17;1;32;0.4375;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;alakazam-dudunsparce;Alakazam Dudunsparce;5;104;0.048077;12;15;0;27;0.444444;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;grimmsnarl-froslass;Grimmsnarl Froslass;4;104;0.038462;9;11;0;20;0.45;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;greninja-ex;Greninja;4;104;0.038462;12;9;0;21;0.571429;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;mega-excadrill-ex;Mega Excadrill;4;104;0.038462;5;17;0;22;0.227273;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;crustle-dri;Crustle;4;104;0.038462;6;9;0;15;0.4;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;rockets-honchkrow;Rocket's Honchkrow;3;104;0.028846;4;3;1;8;0.5;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;lopunny-dudunsparce;Lopunny Dudunsparce;3;104;0.028846;4;11;0;15;0.266667;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;alakazam-dusknoir;Alakazam Dusknoir;3;104;0.028846;3;5;0;8;0.375;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;dhelmise-pbl;Dhelmise;3;104;0.028846;10;3;0;13;0.769231;mitUnentschieden;pairings
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;104;mega-starmie-ex;Mega Starmie;3;104;0.028846;12;6;0;18;0.666667;mitUnentschieden;pairings
