tournament_id;date;archetype_id;group;set;number;card;copies_total;lists_with_card;lists_total;avg_count;inclusion_rate
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;pokemon;TWM;128;Dreepy;8;2;2;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;pokemon;TWM;129;Drakloak;8;2;2;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;pokemon;TWM;130;Dragapult ex;6;2;2;3.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;pokemon;JTG;120;Dunsparce;4;2;2;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;pokemon;TEF;129;Dudunsparce;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;pokemon;JTG;121;Dudunsparce ex;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;pokemon;TWM;95;Munkidori;4;2;2;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;pokemon;POR;62;Meowth ex;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;pokemon;ASC;16;Budew;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;pokemon;DRI;10;Shaymin;1;1;2;0.5;0.5
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;pokemon;PFL;14;Moltres;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;pokemon;ASC;142;Fezandipiti ex;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;trainer;MEG;119;Lillie's Determination;8;2;2;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;trainer;MEG;114;Boss's Orders;5;2;2;2.5;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;trainer;SCR;133;Crispin;4;2;2;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;trainer;POR;76;Judge;1;1;2;0.5;0.5
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;trainer;SFA;64;Xerosic's Machinations;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;trainer;POR;84;Rosa's Encouragement;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;trainer;POR;81;Poké Pad;8;2;2;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;trainer;TEF;144;Buddy-Buddy Poffin;8;2;2;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;trainer;MEG;131;Ultra Ball;8;2;2;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;trainer;ASC;196;Night Stretcher;6;2;2;3.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;trainer;CRI;82;Special Red Card;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;trainer;TEF;152;Hero's Cape;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;trainer;MEG;127;Risky Ruins;4;2;2;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;energy;MEE;5;Psychic Energy;6;2;2;3.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;energy;MEE;2;Fire Energy;7;2;2;3.5;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dudunsparce;energy;MEE;7;Darkness Energy;4;2;2;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;pokemon;TWM;128;Dreepy;32;8;8;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;pokemon;TWM;129;Drakloak;32;8;8;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;pokemon;TWM;130;Dragapult ex;23;8;8;2.875;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;pokemon;PRE;35;Duskull;16;8;8;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;pokemon;PRE;36;Dusclops;13;8;8;1.625;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;pokemon;PRE;37;Dusknoir;10;8;8;1.25;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;pokemon;ASC;16;Budew;13;8;8;1.625;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;pokemon;DRI;10;Shaymin;1;1;8;0.125;0.125
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;pokemon;ASC;142;Fezandipiti ex;8;8;8;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;trainer;MEG;119;Lillie's Determination;30;8;8;3.75;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;trainer;MEG;114;Boss's Orders;22;8;8;2.75;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;trainer;SCR;133;Crispin;16;8;8;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;trainer;POR;84;Rosa's Encouragement;5;5;8;0.625;0.625
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;trainer;TEF;144;Buddy-Buddy Poffin;31;8;8;3.875;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;trainer;POR;81;Poké Pad;29;8;8;3.625;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;trainer;MEG;125;Rare Candy;12;5;8;1.5;0.625
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;trainer;MEG;131;Ultra Ball;26;8;8;3.25;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;trainer;ASC;196;Night Stretcher;21;8;8;2.625;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;trainer;CRI;82;Special Red Card;7;7;8;0.875;0.875
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;trainer;TWM;165;Unfair Stamp;5;5;8;0.625;0.625
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;trainer;DRI;180;Team Rocket's Watchtower;4;3;8;0.5;0.375
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;trainer;TWM;153;Jamming Tower;6;6;8;0.75;0.75
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;energy;MEE;2;Fire Energy;27;8;8;3.375;1.0
6a9ee909a4272c53be649d1f;2026-09-08;dragapult-dusknoir;energy;MEE;5;Psychic Energy;25;8;8;3.125;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;pokemon;TWM;95;Munkidori;4;1;1;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;pokemon;ASC;46;Snorunt;3;1;1;3.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;pokemon;TWM;53;Froslass;3;1;1;3.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;pokemon;ASC;47;Mega Froslass ex;1;1;1;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;pokemon;MEG;88;Yveltal;2;1;1;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;pokemon;JTG;120;Dunsparce;1;1;1;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;pokemon;TEF;129;Dudunsparce;1;1;1;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;pokemon;ASC;16;Budew;1;1;1;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;pokemon;POR;53;Yveltal ex;1;1;1;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;pokemon;DRI;10;Shaymin;1;1;1;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;MEG;119;Lillie's Determination;4;1;1;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;MEG;114;Boss's Orders;3;1;1;3.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;SCR;133;Crispin;2;1;1;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;WHT;84;Hilda;2;1;1;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;TEF;144;Buddy-Buddy Poffin;4;1;1;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;POR;81;Poké Pad;4;1;1;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;POR;71;Crushing Hammer;3;1;1;3.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;POR;82;Pokémon Catcher;3;1;1;3.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;ASC;196;Night Stretcher;3;1;1;3.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;TWM;163;Secret Box;1;1;1;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;CRI;82;Special Red Card;1;1;1;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;ASC;181;Air Balloon;1;1;1;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;POR;77;Lumiose City;1;1;1;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;MEG;127;Risky Ruins;1;1;1;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;trainer;SSP;177;Gravity Mountain;1;1;1;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;energy;MEE;7;Darkness Energy;4;1;1;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;energy;MEE;3;Water Energy;2;1;1;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;froslass-munkidori;energy;ASC;216;Prism Energy;2;1;1;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;pokemon;TWM;95;Munkidori;16;4;4;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;pokemon;DRI;134;Marnie's Impidimp;13;4;4;3.25;1.0
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;pokemon;DRI;135;Marnie's Morgrem;10;4;4;2.5;1.0
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;pokemon;DRI;136;Marnie's Grimmsnarl ex;10;4;4;2.5;1.0
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;pokemon;ASC;46;Snorunt;11;4;4;2.75;1.0
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;pokemon;TWM;53;Froslass;11;4;4;2.75;1.0
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;pokemon;ASC;16;Budew;6;4;4;1.5;1.0
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;pokemon;MEG;88;Yveltal;4;4;4;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;pokemon;DRI;10;Shaymin;3;3;4;0.75;0.75
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;trainer;MEG;119;Lillie's Determination;16;4;4;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;trainer;DRI;176;Team Rocket's Petrel;10;4;4;2.5;1.0
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;trainer;PBL;78;Gwynn;5;3;4;1.25;0.75
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;trainer;MEG;114;Boss's Orders;11;4;4;2.75;1.0
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;trainer;POR;81;Poké Pad;16;4;4;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;grimmsnarl-froslass;trainer;TEF;144;Buddy-Buddy Poffin;10;4;4;2.5;1.0
