tournament_id;date;meta;archetype_id;group;set;number;card;copies_total;lists_with_card;lists_total;avg_count;inclusion_rate
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;pokemon;TWM;128;Dreepy;8;2;2;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;pokemon;TWM;129;Drakloak;8;2;2;4.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;pokemon;TWM;130;Dragapult ex;6;2;2;3.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;pokemon;JTG;120;Dunsparce;4;2;2;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;pokemon;TEF;129;Dudunsparce;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;pokemon;JTG;121;Dudunsparce ex;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;pokemon;TWM;95;Munkidori;4;2;2;2.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;pokemon;POR;62;Meowth ex;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;pokemon;ASC;16;Budew;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;pokemon;DRI;10;Shaymin;1;1;2;0.5;0.5
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;pokemon;PFL;14;Moltres;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;pokemon;ASC;142;Fezandipiti ex;2;2;2;1.0;1.0
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;trainer;MEG;119;Lillie's Determination;8;2;2;4.0;1.0
