tournament_id;date;meta;archetype_id;opponent_id;wins;losses;ties;matches;win_rate;win_rate_convention
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;toxtricity-pfl;raging-bolt-ogerpon;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;raging-bolt-ogerpon;toxtricity-pfl;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;slowking-scr;mega-excadrill-ex;1;1;0;2;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;mega-excadrill-ex;slowking-scr;0;2;0;2;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dhelmise-pbl;slowking-scr;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;slowking-scr;dhelmise-pbl;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;mega-excadrill-ex;mega-excadrill-ex;1;3;0;4;0.25;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;grimmsnarl-froslass;alakazam-dusknoir;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;alakazam-dusknoir;grimmsnarl-froslass;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dusknoir;dhelmise-pbl;1;2;0;3;0.333333;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dhelmise-pbl;dragapult-dusknoir;2;1;0;3;0.666667;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;crustle-dri;festival-lead;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;festival-lead;crustle-dri;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;n-zoroark;1;2;0;3;0.333333;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;n-zoroark;dragapult-dudunsparce;2;1;0;3;0.666667;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;mega-excadrill-ex;ogerpon-meganium;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;ogerpon-meganium;mega-excadrill-ex;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-ex;lopunny-dusknoir;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;lopunny-dusknoir;dragapult-ex;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-ex;dragapult-ex;2;2;0;4;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;greninja-ex;toucannon-pbl;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;toucannon-pbl;greninja-ex;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;festival-lead;grimmsnarl-froslass;1;2;0;3;0.333333;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;grimmsnarl-froslass;festival-lead;2;1;0;3;0.666667;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-blaziken;crustle-dri;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;crustle-dri;dragapult-blaziken;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;n-zoroark;mega-starmie-ex;0;2;0;2;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;mega-starmie-ex;n-zoroark;2;0;0;2;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;lopunny-dudunsparce;starmie-froslass;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;starmie-froslass;lopunny-dudunsparce;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;toxtricity-pfl;dragapult-dudunsparce;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dudunsparce;toxtricity-pfl;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;sharpedo-toxtricity;alakazam-dudunsparce;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;alakazam-dudunsparce;sharpedo-toxtricity;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-ex;crustle-dri;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;crustle-dri;dragapult-ex;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;rockets-honchkrow;dragapult-ex;1;1;0;2;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-ex;rockets-honchkrow;1;1;0;2;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;slowking-scr;alakazam-dudunsparce;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;alakazam-dudunsparce;slowking-scr;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;alakazam-dudunsparce;mega-starmie-ex;0;2;0;2;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;mega-starmie-ex;alakazam-dudunsparce;2;0;0;2;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;basic-box-m;greninja-ex;0;2;0;2;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;greninja-ex;basic-box-m;2;0;0;2;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;froslass-munkidori;dragapult-dusknoir;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dusknoir;froslass-munkidori;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;kangaskhan-bouffalant;mega-venusaur-ex;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;mega-venusaur-ex;kangaskhan-bouffalant;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;alakazam-dusknoir;mega-greninja-ex;1;1;0;2;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;mega-greninja-ex;alakazam-dusknoir;1;1;0;2;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;slowking-scr;n-zoroark;1;1;0;2;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;n-zoroark;slowking-scr;1;1;0;2;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;crustle-dri;ethan-typhlosion;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;ethan-typhlosion;crustle-dri;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;basic-box-m;slowking-scr;2;2;0;4;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;slowking-scr;basic-box-m;2;2;0;4;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;lucario-hariyama;slowking-scr;1;1;0;2;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;slowking-scr;lucario-hariyama;1;1;0;2;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-blaziken;dragapult-ex;1;1;0;2;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-ex;dragapult-blaziken;1;1;0;2;0.5;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;alakazam-dudunsparce;misty-gyarados;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;misty-gyarados;alakazam-dudunsparce;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;basic-box-m;dragapult-dusknoir;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;dragapult-dusknoir;basic-box-m;1;0;0;1;1.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;mega-greninja-ex;basic-box-m;0;1;0;1;0.0;mitUnentschieden
6a9ee909a4272c53be649d1f;2026-09-08;TEF-PBL;basic-box-m;mega-greninja-ex;1;0;0;1;1.0;mitUnentschieden
