tournament_id;name;date;format;players;organizer_id;is_online;has_decklists;swiss_rounds;phases;standings_rows;pairings_rows;scraped_at
6a9ee909a4272c53be649d1f;🏛💫 Card Temple Weekly Battles #75;2026-09-08T02:00:00.000Z;STANDARD;104;2152;True;True;6;1;104;250;2026-09-08T09:37:05Z
6a963bc7629039f77d8a717f;Sunny's Weekly #272 Enter the Dragon!;2026-09-07T22:05:00.000Z;STANDARD;241;145;True;True;8;1;241;581;2026-09-08T09:37:08Z
6a9ebc30ab080c8c957fcc9c;The Dark League Tournament|10$ Prize Pool;2026-09-07T20:30:00.000Z;STANDARD;122;2045;True;True;7;2;122;330;2026-09-08T09:37:10Z
6a9db100ab080c8c957fc12b;Pumpkaweekly;2026-09-07T18:00:00.000Z;STANDARD;342;36;True;True;8;1;342;876;2026-09-08T09:37:13Z
6a9cdf15ab080c8c957fb8af;SEASAC League Challenge #2 (SEASON 5) [50 CODES];2026-09-07T11:30:00.000Z;STANDARD;141;2623;True;True;8;2;141;389;2026-09-08T09:37:15Z
6a978d0fab080c8c957f79ac;Rare Candy Club Showdown #43 (50 CODES);2026-09-07T00:00:00.000Z;STANDARD;254;2518;True;True;8;2;254;668;2026-09-08T10:07:44Z
6a6f72c3cdc0391d7fa5a4fa;Redacted Open Cup;2026-09-06T22:30:00.000Z;STANDARD;134;222;True;True;6;3;134;347;2026-09-08T10:07:46Z
6a958db4629039f77d8a6771;#BATALHA DE LOJAS ELEU CARDS  VS GEEX HOBBY STORE#;2026-09-06T21:30:00.000Z;STANDARD;126;236;True;True;6;1;126;289;2026-09-08T10:07:48Z
6a99d9e5a4272c53be6460ce;Monster Collectibles After Hours Season 2 #1;2026-09-06T17:00:00.000Z;STANDARD;236;2610;True;True;8;1;236;615;2026-09-08T10:07:50Z
6a9cdee2ab080c8c957fb8ae;SEASAC League Challenge #1 (SEASON 5) [50 CODES];2026-09-06T11:30:00.000Z;STANDARD;157;2623;True;True;8;2;157;409;2026-09-08T10:07:52Z
