deck_name;rank;count;share;winrate
Dragapult;1;3377;7,81;53,39
Mega Excadrill;2;3092;7,15;48,73
Alakazam Dudunsparce;3;2548;5,89;52,63
Festival Lead;4;2452;5,67;50,64
Dragapult Dusknoir;5;2428;5,61;50,29
Dragapult Blaziken;6;2423;5,6;52,84
Slowking;7;2376;5,49;51,87
N's Zoroark;8;2266;5,24;48,07
Grimmsnarl Froslass;9;1739;4,02;51,02
Dhelmise;10;1699;3,93;48,69
Toucannon;11;1041;2,41;47,26
Raging Bolt Ogerpon;12;920;2,13;52,74
Mega Lucario;13;879;2,03;50,12
Lucario Hariyama;14;795;1,84;48,69
Basic Box;15;791;1,83;51,9
Mega Greninja;16;632;1,46;41,73
Ogerpon Meganium Hydrapple;17;599;1,38;52,0
Rocket's Honchkrow;18;546;1,26;51,55
Cynthia's Garchomp;19;532;1,23;51,75
Mega Chandelure;20;479;1,11;43,27
Beedrill;21;461;1,07;50,02
Crustle;22;460;1,06;50,3
Mega Absol Box;23;390;0,9;46,94
Rocket's Mewtwo;24;386;0,89;44,53
Kangaskhan Bouffalant;25;346;0,8;51,07
Greninja;26;331;0,77;50,32
Lopunny Dudunsparce;27;324;0,75;52,96
Hop's Trevenant;28;319;0,74;46,3
Starmie Froslass;29;308;0,71;48,78
Lopunny Dusknoir;30;308;0,71;49,1
Manectric Eelektrik;31;304;0,7;42,69
Ethan's Typhlosion;32;297;0,69;46,09
Toxtricity Box;33;291;0,67;51,17
Ceruledge;34;258;0,6;48,57
Dragapult Dudunsparce;35;254;0,59;54,1
Ogerpon Meganium Arboliva;36;252;0,58;56,05
Mega Venusaur;37;230;0,53;43,71
Mega Darkrai;38;203;0,47;38,01
Mega Starmie;39;200;0,46;50,87
Starmie Dusknoir;40;197;0,46;47,11
Cinccino;41;174;0,4;49,59
Alakazam Dusknoir;42;164;0,38;51,21
Sharpedo Toxtricity;43;165;0,38;47,69
Steven's Metagross;44;150;0,35;50,46
Toxtricity;45;146;0,34;36,22
Blaziken Zoroark;46;140;0,32;47,3
Clefairy Ogerpon;47;127;0,29;49,28
Wailord;48;115;0,27;38,37
Okidogi Barbaracle;49;113;0,26;48,49
Froslass Munkidori;50;112;0,26;41,04
Lillie's Clefairy;51;109;0,25;49,2
Mega Froslass;52;103;0,24;36,49
Mega Abomasnow;53;100;0,23;37,02
Metagross;54;89;0,21;47,67
Mega Charizard X;55;93;0,21;33,68
Hydreigon;56;85;0,2;35,45
Flareon Noctowl;57;84;0,19;45,16
Mega Dragonite;58;80;0,18;48,46
Doublade;59;77;0,18;43,77
Diancie Dusknoir;60;76;0,18;46,84
Tera Box;61;73;0,17;50,68
Hop's Zacian;62;73;0,17;44,22
Marnie's Grimmsnarl;63;70;0,16;45,26
Seaking Festival Lead;64;60;0,14;51,0
Erika's Victreebel;65;61;0,14;40,08
Zygarde Barbaracle;66;56;0,13;47,92
Palafin;67;56;0,13;48,31
Ogerpon Meganium;68;58;0,13;39,17
Froslass Dudunsparce;69;58;0,13;40,43
Iron Thorns;70;56;0,13;31,98
Iono's Bellibolt;71;47;0,11;40,96
Bronzong;72;47;0,11;45,7
Ursaluna Lunatone;73;47;0,11;40,0
Azumarill;74;44;0,1;43,11
Archaludon;75;42;0,1;35,33
Mega Feraligatr;76;42;0,1;30,37
Yanmega;77;39;0,09;45,45
Decidueye;78;40;0,09;33,09
Mega Camerupt;79;33;0,08;34,57
Archaludon Dudunsparce;80;33;0,08;32,52
Dudunsparce Control;81;26;0,06;42,15
Rocket's Nidoking;82;24;0,06;38,14
Joltik Box;83;28;0,06;44,25
Jellicent Dusknoir;84;27;0,06;41,58
Dragapult Froslass;85;26;0,06;47,0
Alakazam;86;25;0,06;43,43
Ethan's Magcargo;87;24;0,06;35,71
Mamoswine;88;24;0,06;37,04
Sinistcha Ogerpon;89;23;0,05;56,06
Eelektrik;90;22;0,05;36,0
Misty's Gyarados;91;21;0,05;34,52
Archaludon Zoroark;92;23;0,05;42,5
Blaziken;93;22;0,05;35,21
Greninja Blaziken;94;19;0,04;55,13
Sylveon;95;19;0,04;33,33
Mega Zygarde;96;18;0,04;34,62
Blissey;97;18;0,04;48,65
