deck_name;tournaments_seen;total_brought_weighted;top8_count_weighted;top16_count_weighted;top8_conv_rate;top16_conv_rate;avg_winrate_in_top8;last_seen_date;source_format;total_brought;top8_count;top16_count
Dragapult;98;825.0;73.0;124.5;0.0885;0.1509;21.56;2026-09-08;PBL;1259;118;197
Alakazam Dudunsparce;98;539.0;37.5;80.0;0.0696;0.1484;20.53;2026-09-08;PBL;833;62;134
Mega Excadrill;98;487.0;14.5;46.0;0.0298;0.0945;21.18;2026-09-08;PBL;833;22;70
Dragapult Dusknoir;95;483.0;35.5;66.5;0.0735;0.1377;22.63;2026-09-08;PBL;740;52;100
Slowking;97;463.5;27.0;59.5;0.0583;0.1284;21.45;2026-09-08;PBL;772;44;100
Dragapult Blaziken;95;431.5;42.0;72.5;0.0973;0.168;21.36;2026-09-07;PBL;722;72;124
N's Zoroark;97;425.0;27.0;46.0;0.0635;0.1082;19.66;2026-09-08;PBL;655;44;73
Festival Lead;98;365.5;19.0;37.0;0.052;0.1012;19.91;2026-09-08;PBL;615;34;66
Dhelmise Banette;92;274.5;20.5;40.0;0.0747;0.1457;22.47;2026-09-08;PBL;431;30;59
Clefairy Ogerpon;86;268.5;22.5;40.5;0.0838;0.1508;20.82;2026-09-08;PBL;380;33;60
Grimmsnarl Froslass;93;261.0;13.0;20.5;0.0498;0.0785;19.96;2026-09-08;PBL;441;23;36
Raging Bolt Ogerpon;84;212.0;14.0;28.5;0.066;0.1344;21.7;2026-09-08;PBL;365;27;52
Mega Lucario;92;203.5;8.0;24.5;0.0393;0.1204;20.67;2026-09-07;PBL;332;15;41
Lucario Hariyama;84;154.0;11.5;22.0;0.0747;0.1429;22.05;2026-09-08;PBL;244;19;36
Crustle;72;136.0;10.5;21.0;0.0772;0.1544;20.42;2026-09-08;PBL;188;12;27
Hydrapple Ogerpon;77;113.5;12.5;22.5;0.1101;0.1982;20.0;2026-09-07;PBL;178;16;31
Lopunny Dudunsparce;68;101.0;6.0;20.5;0.0594;0.203;20.75;2026-09-08;PBL;141;8;27
Alakazam Dusknoir;27;92.5;7.0;15.5;0.0757;0.1676;21.43;2026-09-07;PBL;98;7;16
Rocket's Honchkrow;67;92.0;10.5;20.5;0.1141;0.2228;22.57;2026-09-08;PBL;141;14;28
Cynthia's Garchomp;69;92.0;11.0;18.5;0.1196;0.2011;19.71;2026-09-07;PBL;139;17;28
Rocket's Mewtwo;58;87.0;2.0;7.0;0.023;0.0805;18.33;2026-09-07;PBL;120;3;9
Lopunny Dusknoir;64;81.0;2.5;8.5;0.0309;0.1049;20.0;2026-09-07;PBL;133;5;16
Toucannon;61;77.5;1.5;7.5;0.0194;0.0968;22.5;2026-09-08;PBL;131;2;12
Mega Greninja;63;76.0;1.0;4.5;0.0132;0.0592;19.5;2026-09-08;PBL;127;2;7
Greninja;60;74.5;5.5;9.0;0.0738;0.1208;20.4;2026-09-08;PBL;118;10;16
Dragapult Dudunsparce;57;68.5;8.0;12.5;0.1168;0.1825;21.91;2026-09-08;PBL;113;11;20
Mega Chandelure;65;67.5;2.5;6.0;0.037;0.0889;20.5;2026-09-07;PBL;112;4;9
Sharpedo Toxtricity;42;66.5;4.5;8.0;0.0677;0.1203;18.8;2026-09-08;PBL;81;5;10
Arboliva Ogerpon;53;66.0;8.0;10.5;0.1212;0.1591;22.8;2026-09-07;PBL;107;15;20
Kangaskhan Bouffalant;54;65.5;2.5;9.5;0.0382;0.145;25.75;2026-09-08;PBL;103;4;14
Hop's Trevenant;65;65.0;1.5;5.0;0.0231;0.0769;23.67;2026-09-08;PBL;107;3;10
Toxtricity Box;52;59.5;5.0;7.0;0.084;0.1176;22.5;2026-09-07;PBL;88;8;11
Starmie Froslass;59;56.5;3.0;9.5;0.0531;0.1681;17.4;2026-09-08;PBL;90;5;15
Beedrill;57;54.5;3.5;9.0;0.0642;0.1651;18.2;2026-09-07;PBL;92;5;13
Ethan's Typhlosion;50;43.5;1.5;5.0;0.0345;0.1149;18.33;2026-09-07;PBL;75;3;9
Starmie Dusknoir;51;42.0;1.5;4.5;0.0357;0.1071;18.0;2026-09-08;PBL;72;3;8
Steven's Metagross;47;41.0;2.0;4.5;0.0488;0.1098;22.0;2026-09-07;PBL;65;2;5
Mega Starmie;43;40.0;1.5;4.0;0.0375;0.1;17.0;2026-09-08;PBL;63;2;7
Manectric Eelektrik;43;39.5;1.0;3.5;0.0253;0.0886;20.5;2026-09-07;PBL;70;2;7
Ceruledge;43;38.5;2.0;4.0;0.0519;0.1039;17.0;2026-09-07;PBL;65;3;7
Mega Darkrai;34;38.0;0.0;0.0;0.0;0.0;0.0;2026-09-08;PBL;49;0;0
Cinccino;40;32.5;0.5;2.5;0.0154;0.0769;16.0;2026-09-07;PBL;55;1;4
Mega Venusaur;36;30.5;1.5;2.5;0.0492;0.082;21.0;2026-09-08;PBL;49;2;4
Mega Absol Box;33;27.0;0.0;1.0;0.0;0.037;0.0;2026-09-07;PBL;47;0;2
Seaking Festival Lead;22;27.0;2.0;2.5;0.0741;0.0926;20.5;2026-09-07;PBL;30;2;3
Toxtricity;34;24.5;1.5;1.5;0.0612;0.0612;18.0;2026-09-07;PBL;39;2;2
Okidogi Barbaracle;32;23.5;0.5;1.5;0.0213;0.0638;18.0;2026-09-07;PBL;38;1;3
Mega Froslass;38;23.5;0.0;0.5;0.0;0.0213;0.0;2026-09-06;PBL;41;0;1
Clefairy Box;30;20.5;1.0;1.5;0.0488;0.0732;27.5;2026-09-06;PBL;36;2;3
Hydreigon;24;19.5;0.0;1.0;0.0;0.0513;0.0;2026-09-07;PBL;27;0;1
Blaziken Zoroark;23;19.0;1.5;2.5;0.0789;0.1316;19.67;2026-09-07;PBL;33;3;5
Diancie Dusknoir;25;19.0;1.0;2.0;0.0526;0.1053;26.5;2026-09-07;PBL;30;2;3
Mega Abomasnow;23;17.0;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;27;0;0
Mega Charizard X;19;17.0;0.0;0.5;0.0;0.0294;0.0;2026-09-07;PBL;25;0;1
Ogerpon Meganium;19;15.5;0.0;0.5;0.0;0.0323;0.0;2026-09-08;PBL;24;0;1
Flareon Noctowl;21;15.0;0.0;0.0;0.0;0.0;0.0;2026-09-02;PBL;25;0;0
Froslass Munkidori;19;13.5;0.5;0.5;0.037;0.037;18.0;2026-09-04;PBL;22;1;1
Palafin;21;12.5;0.5;1.0;0.04;0.08;22.0;2026-09-04;PBL;23;1;2
Marnie's Grimmsnarl;16;12.0;0.5;0.5;0.0417;0.0417;25.0;2026-09-07;PBL;19;1;1
Hop's Zacian;17;12.0;0.5;1.5;0.0417;0.125;16.0;2026-09-06;PBL;18;1;3
Bronzong;14;11.0;0.0;0.5;0.0;0.0455;0.0;2026-09-06;PBL;17;0;1
Mega Dragonite;14;10.5;0.0;0.5;0.0;0.0476;0.0;2026-09-02;PBL;19;0;1
Dudunsparce Control;11;9.5;0.0;0.0;0.0;0.0;0.0;2026-09-08;PBL;12;0;0
Ursaluna Lunatone;14;9.5;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;14;0;0
Noctowl Ogerpon-Wellspring;15;9.0;1.0;1.0;0.1111;0.1111;23.0;2026-09-04;PBL;17;2;2
Mega Camerupt;14;8.5;0.0;0.0;0.0;0.0;0.0;2026-09-06;PBL;15;0;0
Dudunsparce Mega Froslass;14;8.5;0.0;0.0;0.0;0.0;0.0;2026-09-06;PBL;15;0;0
Ethan's Magcargo;11;8.0;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;12;0;0
